category,topics_count,total_heat,avg_heat,avg_minutes,heat_share,count_share
CP,5,1284980,256996.0,120.0,1.1081347973218558e-05,1.9655787843288333e-05
国学,2,1188403,594201.5,33.0,1.0248491941833223e-05,7.862315137315334e-06
财经-银行,3,1126010,375336.6666666667,214.66666666666666,9.710430225625167e-06,1.1793472705973001e-05
艺术-书法,2,825462,412731.0,83.0,7.118579013423506e-06,7.862315137315334e-06
网络自制,2,641737,320868.5,71.5,5.534180301864121e-06,7.862315137315334e-06
艺术-建筑,3,582440,194146.66666666666,164.66666666666666,5.022817719747713e-06,1.1793472705973001e-05
综艺-港台综艺,3,553471,184490.33333333334,102.66666666666667,4.772996267712531e-06,1.1793472705973001e-05
电影-印度电影,2,542971,271485.5,63.5,4.682446878835821e-06,7.862315137315334e-06
宗教,2,535868,267934.0,123.0,4.621192373198557e-06,7.862315137315334e-06
艺术-舞蹈,2,532525,266262.5,58.5,4.592363172530477e-06,7.862315137315334e-06
闲趣,3,513894,171298.0,26.666666666666668,4.431694061657907e-06,1.1793472705973001e-05
设计,1,171955,171955.0,19.0,1.4828971585042547e-06,3.931157568657667e-06
电视剧-日剧,1,167296,167296.0,112.0,1.4427191010969602e-06,3.931157568657667e-06
动漫-欧美动漫,1,106439,106439.0,82.0,9.179034669188703e-07,3.931157568657667e-06
