date,official_status,obs_count,unique_hosts,total_heat,avg_heat,total_minutes,avg_minutes,avg_density,day_total_heat,day_total_obs,heat_share,count_share
2024-02-10,unknown,192,0,196948552,1025773.7083333334,32768,170.66666666666666,12020.353504230596,464589465,429,0.42391953937224985,0.44755244755244755
2024-02-11,non_official,195,121,78116694,400598.43076923076,31783,162.9897435897436,8006.937343553975,162412211,414,0.48097796045643393,0.47101449275362317
2024-02-11,official,64,34,25167866,393247.90625,10353,161.765625,12880.665772265273,162412211,414,0.15496289253767995,0.15458937198067632
2024-02-11,unknown,155,0,59127651,381468.71612903225,29014,187.18709677419355,6369.933326231787,162412211,414,0.36405914700588615,0.3743961352657005
2024-02-12,non_official,182,98,77473824,425680.35164835164,37071,203.6868131868132,4618.478338766135,175391377,406,0.4417196861394161,0.4482758620689655
2024-02-12,official,60,30,30639123,510652.05,10159,169.31666666666666,8807.435170275778,175391377,406,0.1746900191108027,0.1477832512315271
2024-02-12,unknown,164,0,67278430,410234.3292682927,23620,144.02439024390245,4607.717113576027,175391377,406,0.38359029474978124,0.4039408866995074
2024-02-13,non_official,189,119,95884544,507325.6296296296,36893,195.2010582010582,5183.202673124143,241171068,429,0.3975789666445396,0.4405594405594406
2024-02-13,official,75,32,35977538,479700.50666666665,10467,139.56,11245.15474869113,241171068,429,0.14917849930490004,0.17482517482517482
2024-02-13,unknown,165,0,109308986,662478.703030303,23840,144.4848484848485,9027.31126574436,241171068,429,0.4532425340505603,0.38461538461538464
