host_category_raw,week,avg_heat,total_heat,topic_count,normalized_heat,mau_millions,dau_millions,heat_per_mau,heat_per_dau
明星,2025-05-26,365474.3813131313,144727855,396,0.07805027868002665,588.0,261.0,246135.80782312926,554512.8544061303
明星-内地,2025-05-26,323233.5933333333,48485039,150,0.02614749459087859,588.0,261.0,82457.54931972788,185766.43295019158
明星-日韩,2025-05-26,428290.28571428574,5996064,14,0.0032336170959161616,588.0,261.0,10197.387755102041,22973.42528735632
明星-港台,2025-05-26,188267.0,188267,1,0.00010153050230898936,588.0,261.0,320.18197278911566,721.3295019157088
星座,2025-05-26,127152.66666666667,762916,6,0.000411432936731158,588.0,261.0,1297.4761904761904,2923.049808429119
校园,2025-05-26,479663.8333333333,2877983,6,0.0015520673279264669,588.0,261.0,4894.528911564626,11026.75478927203
汽车,2025-05-26,719924.3265306122,35276292,49,0.01902414999101586,588.0,261.0,59993.69387755102,135158.2068965517
游戏,2025-05-26,196060.40206185568,19017859,97,0.010256140359763178,588.0,261.0,32343.29761904762,72865.36015325671
电商,2025-05-26,1065069.6666666667,6390418,6,0.003446288247565464,588.0,261.0,10868.057823129251,24484.360153256705
电影,2025-05-26,332698.3333333333,3992380,12,0.0021530504379862797,588.0,261.0,6789.761904761905,15296.475095785441
电影-华语电影,2025-05-26,95188.66666666667,285566,3,0.00015400287582193828,588.0,261.0,485.65646258503403,1094.1226053639846
电影-美国电影,2025-05-26,182430.0,547290,3,0.0002951480004923156,588.0,261.0,930.765306122449,2096.896551724138
电视剧,2025-05-26,332021.8765432099,26893772,81,0.014503541141800918,588.0,261.0,45737.707482993195,103041.27203065134
电视剧-国产剧,2025-05-26,263576.46376811597,18186776,69,0.009807945644542444,588.0,261.0,30929.891156462585,69681.13409961686
社会,2025-05-26,422742.4950331126,510672934,1208,0.2754007845486749,588.0,261.0,868491.3843537415,1956601.2796934866
科技,2025-05-26,610374.1428571428,4272619,7,0.0023041805162080015,588.0,261.0,7266.358843537415,16370.187739463601
科普,2025-05-26,221813.68181818182,4879901,22,0.0026316815997925263,588.0,261.0,8299.151360544218,18696.938697318008
综艺,2025-05-26,375574.3947368421,57087308,152,0.030786611868824525,588.0,261.0,97087.25850340136,218725.31800766283
综艺-内地综艺,2025-05-26,742641.325,29705653,40,0.016019960324998736,588.0,261.0,50519.81802721089,113814.76245210729
美妆,2025-05-26,646649.4444444445,5819845,9,0.0031385839590074745,588.0,261.0,9897.695578231293,22298.256704980842
美食,2025-05-26,807509.8888888889,7267589,9,0.003919337758318164,588.0,261.0,12359.845238095239,27845.168582375478
育儿,2025-05-26,633592.3333333334,1900777,3,0.0010250699463388374,588.0,261.0,3232.6139455782313,7282.6704980842915
艺术,2025-05-26,933001.0,933001,1,0.000503158069044439,588.0,261.0,1586.7363945578231,3574.7164750957854
读书,2025-05-26,265926.0,1063704,4,0.0005736448842764861,588.0,261.0,1809.0204081632653,4075.4942528735633
财经,2025-05-26,350204.1666666667,27315925,78,0.014731204014961094,588.0,261.0,46455.65476190476,104658.71647509579
财经-产业公司,2025-05-26,289840.0,289840,1,0.00015630780109757674,588.0,261.0,492.9251700680272,1110.4980842911878
运动健身,2025-05-26,1476858.0,1476858,1,0.0007964546871148391,588.0,261.0,2511.6632653061224,5658.459770114942
音乐,2025-05-26,257610.6,9016371,35,0.004862438327663397,588.0,261.0,15333.964285714286,34545.48275862069
音乐-华语音乐,2025-05-26,225704.81818181818,2482753,11,0.0013389237582749514,588.0,261.0,4222.369047619048,9512.463601532567
音乐-日韩音乐,2025-05-26,305771.0,611542,2,0.00032979845880076687,588.0,261.0,1040.0374149659865,2343.072796934866
音乐-欧美音乐,2025-05-26,153150.0,153150,1,8.259225689378235e-05,588.0,261.0,260.4591836734694,586.7816091954023
互联网,2025-06-02,431975.4761904762,9071485,21,0.004772575402499335,588.0,261.0,15427.695578231293,34756.64750957854
体育,2025-06-02,358146.20809248555,123918588,346,0.06519448634939587,588.0,261.0,210745.89795918367,474783.8620689655
健康,2025-06-02,980090.0,2940270,3,0.0015468978098631837,588.0,261.0,5000.459183673469,11265.402298850575
公益,2025-06-02,529385.8,2646929,5,0.0013925689385544003,588.0,261.0,4501.579931972789,10141.49042145594
