host,is_official,source,host_category,host_category_raw
圈内偶像,0,heuristic_seed,Entertainment & Sports,明星-内地
圈内嘟嘟姐,0,model_seed,Entertainment & Sports,明星-日韩
圈内妹妹,0,model_seed,Entertainment & Sports,电视剧
圈内小小迷妹,0,model_seed,Entertainment & Sports,电视剧
圈内少女,0,model_seed,Entertainment & Sports,明星-内地
圈内少年,0,model_seed,Entertainment & Sports,明星-内地
圈内扒姬,0,heuristic_seed,Entertainment & Sports,电视剧-国产剧
圈内指南,0,model_seed,Entertainment & Sports,电影
圈内教主,0,model_seed,Entertainment & Sports,电影
圈内教父,0,model_seed,Entertainment & Sports,明星
圈内星爷,0,model_seed,Entertainment & Sports,明星
圈内校草,0,model_seed,Entertainment & Sports,明星
圈内漂流瓶,0,model_seed,Entertainment & Sports,体育
圈内爆爷,0,model_seed,Entertainment & Sports,明星
圈内的,0,model_seed,Entertainment & Sports,明星-内地
圈内综综,0,model_seed,Entertainment & Sports,明星-内地
圈内老顽童,0,model_seed,Entertainment & Sports,综艺
圈内芒果捞,0,model_seed,Entertainment & Sports,明星
圈内说,0,model_seed,Entertainment & Sports,综艺-内地综艺
圈内追星日常,0,model_seed,Entertainment & Sports,电视剧
圈内顶流,0,model_seed,Entertainment & Sports,明星-内地
圈圈视频,0,model_seed,Entertainment & Sports,电视剧-国产剧
圈外童鞋的笔记簿,0,model_seed,Entertainment & Sports,体育
圈外老鬼,0,model_seed,Entertainment & Sports,电影
圈大哥,0,model_seed,Entertainment & Sports,电视剧
圈大神,0,model_seed,Entertainment & Sports,明星-内地
圈姐八卦视频,0,heuristic_seed,Entertainment & Sports,电视剧-国产剧
圈星娘,0,model_seed,Entertainment & Sports,综艺
圈热议,0,model_seed,Entertainment & Sports,电影-华语电影
圈记人,0,model_seed,Entertainment & Sports,电视剧
圈里教父,0,model_seed,Lifestyle & Services,情感
圈饭星娱,0,model_seed,Entertainment & Sports,明星
圖書舘,0,model_seed,Entertainment & Sports,明星
土味说,0,model_seed,Entertainment & Sports,体育
在人间官微,0,model_seed,Entertainment & Sports,电视剧
在圈里收瓜,0,model_seed,Entertainment & Sports,游戏
在看的剧季,0,heuristic_seed,Entertainment & Sports,电视剧
在看的娱乐,0,heuristic_seed,Entertainment & Sports,明星
在睡觉的制造商,0,model_seed,Entertainment & Sports,电视剧
在逃偶像包袱,0,heuristic_seed,Entertainment & Sports,明星
在逃理科生,0,model_seed,Entertainment & Sports,搞笑
在逃萌新,0,model_seed,Entertainment & Sports,明星-日韩
在长沙,0,model_seed,Lifestyle & Services,旅游
地下城与勇士手游,0,model_seed,Entertainment & Sports,游戏
地球一小时,0,model_seed,News & Information,公益
地球超新鲜,0,model_seed,Entertainment & Sports,综艺-内地综艺
地道风物,0,model_seed,Lifestyle & Services,旅游
地铁跑酷官方,0,model_seed,Entertainment & Sports,游戏
坂田尤纪,0,model_seed,Entertainment & Sports,明星
均匀视频,0,model_seed,News & Information,社会
坦克SUV,0,model_seed,Technology,汽车
垚垚不接受反驳,0,model_seed,Entertainment & Sports,明星
城与乔木荒,0,model_seed,Knowledge & Culture,校园
城市周刊娱评,0,model_seed,Entertainment & Sports,明星
城市周刊文艺,0,model_seed,Entertainment & Sports,搞笑
城市巡游记,0,model_seed,Lifestyle & Services,旅游
城市捉迷藏,0,model_seed,Entertainment & Sports,综艺
城市晚报官方微博,1,heuristic_seed,News & Information,社会
城市漫游计划,0,model_seed,Lifestyle & Services,旅游
城市画报,1,manual_review,Entertainment & Sports,电视剧-国产剧
堇洁-偏爱版,0,model_seed,Entertainment & Sports,明星-内地
塔斯汀中国汉堡,0,manual_review,Lifestyle & Services,美食
塔斯汀汉堡中国,0,manual_review,News & Information,社会
墨雨云间官微,0,model_seed,Entertainment & Sports,电视剧
士力架中国,0,manual_review,Lifestyle & Services,美食
声生不息官微,0,model_seed,Entertainment & Sports,综艺
壹号厅,0,model_seed,Entertainment & Sports,明星
壹周娱评,0,model_seed,Entertainment & Sports,明星-内地
壹周文艺,0,model_seed,Entertainment & Sports,电视剧
壹周星娱,0,model_seed,Entertainment & Sports,体育
壹周院线,0,model_seed,Entertainment & Sports,明星-内地
壹基金,0,model_seed,News & Information,公益
壹家影视铺,0,model_seed,Entertainment & Sports,电视剧
复旦大学,0,model_seed,Knowledge & Culture,校园
夏东旭,0,model_seed,Lifestyle & Services,旅游
夏九迁,0,model_seed,Entertainment & Sports,搞笑
夏厨陈二十,0,model_seed,Lifestyle & Services,美食
夏木帆,0,model_seed,News & Information,职场
外交部,0,model_seed,News & Information,时事
外交部发言人办公室,0,model_seed,News & Information,时事
外星人电解质水,0,model_seed,Lifestyle & Services,美食
多一种生活提案,0,model_seed,News & Information,社会
多多有板-V,0,model_seed,Entertainment & Sports,明星
多屏互动官微,0,model_seed,Entertainment & Sports,明星-内地
多点生活官微,0,model_seed,Entertainment & Sports,明星
多肉桃桃七分糖,0,model_seed,Entertainment & Sports,明星-内地
大众新闻-半岛都市报,1,manual_review,News & Information,社会
大众新闻-大众日报,1,heuristic_seed,News & Information,社会
大众日报,1,heuristic_seed,News & Information,社会
大众汽车ID与众,0,model_seed,Technology,汽车
大众点评,0,model_seed,Lifestyle & Services,生活记录
大众网,0,model_seed,News & Information,社会
大佬频道,0,heuristic_seed,Technology,互联网
大侦探-假期版,0,model_seed,Entertainment & Sports,综艺-内地综艺
大侦探官微,0,model_seed,Entertainment & Sports,综艺
大公文匯網,0,model_seed,News & Information,时事
大内密谈,0,model_seed,Entertainment & Sports,直播
大剧透,0,heuristic_seed,Entertainment & Sports,明星-内地
大参考,0,model_seed,News & Information,社会
大叔推文榜,0,model_seed,Knowledge & Culture,读书
大同共青团,1,heuristic_seed,Knowledge & Culture,教育
大唐狄公案官微,0,model_seed,Entertainment & Sports,电视剧
大国外交最前线,0,model_seed,News & Information,时事
大地娱乐,0,heuristic_seed,Entertainment & Sports,明星-港台
大声,0,model_seed,News & Information,社会
大大大大萌纸小姐,0,model_seed,Lifestyle & Services,情感
大奉打更人官微,0,model_seed,Entertainment & Sports,电视剧
大学生名场面,0,model_seed,Knowledge & Culture,校园
大学生吐槽bot,0,model_seed,Knowledge & Culture,校园
大学生妙妙屋,0,model_seed,Lifestyle & Services,情感
大学生日常鉴赏,0,model_seed,Entertainment & Sports,搞笑
大学生活动bot,0,model_seed,Entertainment & Sports,搞笑
大学生知行计划,0,model_seed,News & Information,公益
大学生观察室,1,heuristic_seed,Knowledge & Culture,校园
大学生钱多乐,0,model_seed,Knowledge & Culture,校园
大宁clan,0,model_seed,Lifestyle & Services,情感
大家读书吧,0,model_seed,Knowledge & Culture,读书
大悦城JOYCITY,0,model_seed,News & Information,社会
