week_start,category,host_category_raw,is_official,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-03-11,电影 (官媒),电影,1,298,2,149.0,0.000765897513660219
2024-03-11,电影 (非官媒),电影,0,4710,31,151.93548387096774,0.012105292917247087
2024-03-11,电影-华语电影 (非官媒),电影-华语电影,0,592,5,118.4,0.001521514523781375
2024-03-11,电影-美国电影 (非官媒),电影-美国电影,0,817,13,62.84615384615385,0.002099792847853688
2024-03-11,电视剧 (官媒),电视剧,1,356,1,356.0,0.0009149648149766376
2024-03-11,电视剧 (非官媒),电视剧,0,11506,85,135.36470588235295,0.029571868430115708
2024-03-11,电视剧-国产剧 (非官媒),电视剧-国产剧,0,6086,37,164.48648648648648,0.015641786134684876
2024-03-11,社会 (官媒),社会,1,65232,373,174.8847184986595,0.167654451715045
2024-03-11,社会 (非官媒),社会,0,66847,327,204.4250764525994,0.17180520501894184
2024-03-11,科技 (官媒),科技,1,578,3,192.66666666666666,0.0014855327613946532
2024-03-11,科技 (非官媒),科技,0,1514,9,168.22222222222223,0.0038911705895354753
2024-03-11,科普 (官媒),科普,1,4656,21,221.71428571428572,0.011966506119469731
2024-03-11,科普 (非官媒),科普,0,374,2,187.0,0.0009612270809024226
2024-03-11,综艺 (官媒),综艺,1,3798,18,211.0,0.009761338110340644
2024-03-11,综艺 (非官媒),综艺,0,12410,80,155.125,0.03189526222994402
2024-03-11,综艺-内地综艺 (官媒),综艺-内地综艺,1,899,9,99.88888888888889,0.0023105431704044865
2024-03-11,综艺-内地综艺 (非官媒),综艺-内地综艺,0,5358,29,184.75862068965517,0.01377073449057535
2024-03-11,综艺-日韩综艺 (非官媒),综艺-日韩综艺,0,97,1,97.0,0.0002493022108222861
2024-03-11,美图 (非官媒),美图,0,70,1,70.0,0.0001799088119336085
2024-03-11,美食 (非官媒),美食,0,1540,6,256.6666666666667,0.003957993862539387
2024-03-11,萌宠 (非官媒),萌宠,0,917,5,183.4,0.0023568054363302714
2024-03-11,读书 (非官媒),读书,0,61,3,20.333333333333332,0.00015677767897071597
2024-03-11,财经 (官媒),财经,1,5305,31,171.1290322580645,0.01363451781868276
2024-03-11,财经 (非官媒),财经,0,7510,57,131.75438596491227,0.019301645394591428
2024-03-11,音乐 (非官媒),音乐,0,4416,38,116.21052631578948,0.011349675907125932
2024-03-11,音乐-华语音乐 (非官媒),音乐-华语音乐,0,336,4,84.0,0.0008635622972813209
2024-03-11,音乐-日韩音乐 (非官媒),音乐-日韩音乐,0,1051,7,150.14285714285714,0.0027012023048888934
