week_start,category,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-07-01,互联网,958,7,136.85714285714286,0.002405149731868485
2024-07-01,体育,45683,298,153.2986577181208,0.11469149812207516
2024-07-01,健康,74,3,24.666666666666668,0.00018578400851593726
2024-07-01,公益,228,4,57.0,0.0005724155938058608
2024-07-01,其他,3167,25,126.68,0.007951053445540179
2024-07-01,军事,219,5,43.8,0.0005498202414187873
2024-07-01,动漫,1927,16,120.4375,0.004837916005543393
2024-07-01,动漫-日本动漫,83,1,83.0,0.0002083793609030107
2024-07-01,地区,287,1,287.0,0.0007205406816766756
2024-07-01,情感,8751,51,171.58823529411765,0.021970214304364417
2024-07-01,搞笑,32788,145,226.12413793103448,0.08231737934081826
2024-07-01,政务,88,1,88.0,0.00022093233445138485
2024-07-01,教育,6,1,6.0,1.5063568258048967e-05
2024-07-01,数码,144,2,72.0,0.0003615256381931752
2024-07-01,时事,24812,123,201.72357723577235,0.06229287593645182
2024-07-01,时尚,855,10,85.5,0.0021465584767719776
2024-07-01,明星,46866,325,144.20307692307694,0.11766153166362048
2024-07-01,明星-其他,96,1,96.0,0.00024101709212878347
2024-07-01,明星-内地,15206,100,152.06,0.03817610315531543
2024-07-01,明星-日韩,2173,12,181.08333333333334,0.005455522304123401
2024-07-01,星座,1499,10,149.9,0.0037633814698025667
2024-07-01,校园,1261,7,180.14285714285714,0.003165859928899958
2024-07-01,汽车,738,7,105.42857142857143,0.001852818895740023
2024-07-01,游戏,10667,128,83.3359375,0.026780513768101387
2024-07-01,电影,4880,38,128.42105263157896,0.01225170218321316
2024-07-01,电影-华语电影,851,10,85.1,0.0021365160979332784
2024-07-01,电视剧,11740,100,117.4,0.02947438189158248
2024-07-01,电视剧-国产剧,10400,62,167.74193548387098,0.02611018498061821
2024-07-01,直播,17,1,17.0,4.2680110064472074e-05
2024-07-01,社会,126606,794,159.45340050377834,0.31785635381309124
2024-07-01,科技,962,12,80.16666666666667,0.0024151921107071843
2024-07-01,科普,4065,17,239.11764705882354,0.010205567494828175
2024-07-01,综艺,15609,105,148.65714285714284,0.03918787282331439
2024-07-01,综艺-内地综艺,6283,44,142.79545454545453,0.015774066560886944
2024-07-01,美妆,3,1,3.0,7.5317841290244834e-06
2024-07-01,美食,158,2,79.0,0.0003966739641286228
2024-07-01,萌宠,149,2,74.5,0.00037407861174154936
2024-07-01,读书,161,1,161.0,0.0004042057482576473
2024-07-01,财经,12068,71,169.9718309859155,0.030297856956355822
2024-07-01,财经-产业公司,113,1,113.0,0.00028369720219325554
2024-07-01,运动健身,245,3,81.66666666666667,0.0006150957038703328
2024-07-01,音乐,4583,31,147.83870967741936,0.011506055554439735
2024-07-01,音乐-华语音乐,266,2,133.0,0.0006678181927735042
2024-07-01,音乐-日韩音乐,577,3,192.33333333333334,0.0014486131474823756
2024-07-08,互联网,2625,21,125.0,0.006655274526905056
2024-07-08,体育,41065,264,155.54924242424244,0.10411384702756425
2024-07-08,健康,154,3,51.333333333333336,0.00039044277224509666
2024-07-08,公益,170,5,34.0,0.000431008255075756
2024-07-08,其他,2460,19,129.47368421052633,0.0062369429852138815
2024-07-08,军事,259,3,86.33333333333333,0.0006566537533212989
2024-07-08,动漫,2420,17,142.35294117647058,0.006135529278137233
2024-07-08,动漫-国产动漫,167,4,41.75,0.0004234022270450074
2024-07-08,动漫-日本动漫,155,2,77.5,0.00039297811492201287
2024-07-08,情感,10885,61,178.44262295081967,0.02759720503823297
2024-07-08,搞笑,21508,111,193.76576576576576,0.054530150295113884
2024-07-08,政务,20,1,20.0,5.070685353832424e-05
2024-07-08,教育,159,2,79.5,0.0004031194856296777
2024-07-08,数码,790,9,87.77777777777777,0.0020029207147638077
2024-07-08,旅游,609,5,121.8,0.001544023690241973
2024-07-08,时事,18844,130,144.95384615384614,0.0477759974038091
2024-07-08,时尚,70,1,70.0,0.00017747398738413484
2024-07-08,明星,50393,366,137.68579234972677,0.12776352351783868
2024-07-08,明星-其他,875,2,437.5,0.0022184248423016855
2024-07-08,明星-内地,12687,106,119.68867924528301,0.03216589254203598
2024-07-08,明星-日韩,1286,13,98.92307692307692,0.0032604506825142485
2024-07-08,明星-港台,183,2,91.5,0.0004639677098756668
2024-07-08,星座,1785,9,198.33333333333334,0.004525586678295439
2024-07-08,校园,1496,5,299.2,0.003792872644666653
2024-07-08,汽车,935,9,103.88888888888889,0.0023705454029166583
2024-07-08,游戏,12079,149,81.06711409395973,0.030624404194470926
2024-07-08,电影,4072,33,123.39393939393939,0.010323915380402815
2024-07-08,电影-华语电影,901,7,128.71428571428572,0.002284343751901507
2024-07-08,电影-美国电影,431,2,215.5,0.0010927326937508874
2024-07-08,电视剧,15313,126,121.53174603174604,0.03882370241161796
2024-07-08,电视剧-国产剧,9035,87,103.85057471264368,0.022906821085937976
2024-07-08,社会,130855,840,155.7797619047619,0.3317622659878709
2024-07-08,科技,1989,13,153.0,0.005042796584386345
2024-07-08,科普,3684,15,245.6,0.009340202421759324
2024-07-08,综艺,12178,109,111.72477064220183,0.03087540311948563
2024-07-08,综艺-内地综艺,9121,53,172.0943396226415,0.02312486055615277
2024-07-08,美食,806,7,115.14285714285714,0.002043486197594467
2024-07-08,职场,339,2,169.5,0.0008594811674745959
2024-07-08,萌宠,211,4,52.75,0.0005349573048293207
2024-07-08,财经,16060,93,172.68817204301075,0.040717603391274365
2024-07-08,财经-产业公司,196,2,98.0,0.0004969271646755775
2024-07-08,运动健身,220,2,110.0,0.0005577753889215667
2024-07-08,音乐,2422,36,67.27777777777777,0.006140599963491066
2024-07-08,音乐-华语音乐,1534,14,109.57142857142857,0.0038892156663894693
2024-07-08,音乐-日韩音乐,978,4,244.5,0.0024795651380240553
2024-07-15,IT技术,56,1,56.0,0.00013822962408947405
2024-07-15,互联网,2688,17,158.11764705882354,0.006635021956294755
2024-07-15,体育,42138,274,153.78832116788323,0.10401285535504032
2024-07-15,健康,94,2,47.0,0.00023202829757876004
2024-07-15,公益,203,3,67.66666666666667,0.0005010823873243435
2024-07-15,其他,2010,19,105.78947368421052,0.004961456150354337
2024-07-15,军事,246,6,41.0,0.0006072229915359039
2024-07-15,动漫,1449,15,96.6,0.003576691523315141
2024-07-15,动漫-国产动漫,34,2,17.0,8.392512891146639e-05
2024-07-15,情感,11009,68,161.89705882352942,0.027174463064303926
2024-07-15,房产,65,1,65.0,0.0001604450993895681
2024-07-15,搞笑,17057,106,160.91509433962264,0.04210326246596713
2024-07-15,教育,381,5,76.2,0.0009404551210373146
2024-07-15,数码,1558,13,119.84615384615384,0.003845745613060725
2024-07-15,旅游,232,3,77.33333333333333,0.0005726655855135354
2024-07-15,时事,24493,158,155.01898734177215,0.06045818183613372
2024-07-15,时尚,407,7,58.142857142857146,0.0010046331607931418
2024-07-15,明星,52751,344,153.34593023255815,0.1302098375061401
